,location,bhk,total_sqft,bath,price,encoded_loc
7357,Bannerghatta Road,3,1520.0,2.0,81.0,34
7358,Kanakpura Road,3,1530.0,2.0,70.99,127
7359,others,2,1170.0,2.0,45.51,230
7360,OMBR Layout,3,1580.0,3.0,75.0,175
7361,Ardendale,3,1777.26,3.0,89.0,19
7362,Raja Rajeshwari Nagar,2,1303.0,2.0,55.78,184
7363,Kodichikkanahalli,2,1680.0,2.0,59.0,138
7364,Whitefield,3,1495.0,2.0,70.0,224
7365,Yelahanka,3,1835.0,3.0,108.0,226
7366,others,2,1080.0,2.0,38.0,230
7367,Haralur Road,2,1225.0,2.0,67.48,90
7368,Balagere,1,656.0,1.0,34.77,25
7369,Sarjapur  Road,2,994.0,2.0,45.0,194
7370,others,2,1025.0,2.0,65.0,230
7371,Marathahalli,2,1156.0,2.0,52.0,161
7372,JP Nagar,2,1250.0,2.0,60.0,109
7373,Kundalahalli,4,3092.0,4.0,230.0,150
7374,Hegde Nagar,3,1930.0,4.0,122.0,94
7375,others,2,1020.0,2.0,70.0,230
7376,Kumaraswami Layout,3,1310.0,2.0,70.0,149
7377,Jalahalli,1,612.5,1.0,27.565,111
7378,Kanakpura Road,2,1322.0,2.0,70.0,127
7379,Kothanur,2,1160.0,2.0,57.0,146
7380,5th Block Hbr Layout,2,1100.0,2.0,48.0,3
7381,Chikkalasandra,2,1090.0,2.0,47.42,59
7382,KR Puram,2,2000.0,2.0,75.0,115
7383,others,2,1155.0,2.0,69.0,230
7384,Vishveshwarya Layout,6,4000.0,6.0,230.0,221
7385,Sarjapur  Road,4,3913.0,5.0,176.0,194
7386,JP Nagar,2,1125.0,2.0,39.98,109
7387,Yelahanka,3,1847.0,3.0,92.0,226
7388,7th Phase JP Nagar,3,1515.0,2.0,76.0,6
7389,Yelahanka,5,2500.0,3.0,120.0,226
7390,Sarjapur  Road,2,1130.0,2.0,55.0,194
7391,Bellandur,2,1049.0,2.0,51.0,40
7392,Amruthahalli,3,2650.0,4.0,175.0,14
7393,Varthur Road,2,850.0,2.0,25.4,218
7394,Jakkur,2,1282.0,2.0,72.0,110
7395,Kalena Agrahara,2,800.0,2.0,40.0,121
7396,Magadi Road,3,1318.0,2.0,68.0,155
7397,Kanakpura Road,2,1698.0,2.0,105.0,127
7398,others,3,1555.0,2.0,67.0,230
7399,Sarjapur  Road,3,1881.0,3.0,145.0,194
7400,Yelahanka,3,1890.0,3.0,109.0,226
7401,Old Madras Road,2,935.0,2.0,32.0,177
7402,Cox Town,2,1000.0,2.0,58.0,62
7403,Singasandra,3,1510.0,3.0,75.0,201
7404,Uttarahalli,2,1120.0,2.0,50.0,216
7405,Talaghattapura,2,1175.0,2.0,62.0,208
7406,Bellandur,3,1350.0,2.0,63.0,40
7407,others,4,2180.0,4.0,115.0,230
7408,Kasavanhalli,3,1715.0,3.0,112.0,130
7409,Hebbal,2,1072.0,2.0,45.0,92
7410,Panathur,2,1230.0,2.0,80.0,180
7411,Murugeshpalya,3,1600.0,2.0,65.0,165
7412,Thanisandra,3,1411.0,3.0,93.25,209
7413,Rayasandra,5,3600.0,5.0,145.0,189
7414,Jalahalli,3,2404.0,3.0,138.0,111
7415,Doddathoguru,3,1208.0,3.0,45.0,70
7416,Haralur Road,2,1225.0,2.0,69.84,90
7417,Hebbal,2,1162.0,2.0,69.0,92
7418,Thanisandra,3,1262.0,2.0,65.0,209
7419,others,2,1050.0,2.0,35.0,230
7420,Channasandra,3,1500.0,3.0,61.95,56
7421,others,3,1610.0,3.0,85.0,230
7422,Whitefield,2,1340.0,2.0,41.0,224
7423,Sarjapur  Road,3,2275.0,4.0,182.0,194
7424,others,4,3150.0,3.0,135.0,230
7425,Hosa Road,2,1170.0,2.0,65.0,101
7426,Channasandra,3,1800.0,3.0,60.0,56
7427,Banashankari Stage VI,3,1423.0,2.0,71.73,30
7428,Kaggadasapura,2,1106.0,2.0,40.0,118
7429,others,2,1255.0,2.0,56.7,230
7430,Babusapalaya,2,1061.0,2.0,38.95,24
7431,others,2,600.0,2.0,29.5,230
7432,Domlur,3,2100.0,3.0,145.0,71
7433,others,2,907.0,2.0,55.43,230
7434,Hennur Road,3,2047.0,3.0,67.55,96
7435,others,4,2597.0,4.0,189.0,230
7436,Bellandur,2,1211.0,2.0,63.0,40
7437,Hennur Road,3,1904.0,3.0,129.0,96
7438,Balagere,2,1205.0,2.0,73.87,25
7439,Yeshwanthpur,2,1164.0,2.0,64.08,229
7440,others,2,1410.0,2.0,73.0,230
7441,others,2,1150.0,2.0,42.0,230
7442,others,2,1170.0,2.0,53.11,230
7443,Hennur,2,1420.0,2.0,62.0,95
7444,Panathur,2,1125.0,2.0,45.0,180
7445,NRI Layout,3,1789.0,3.0,75.0,168
7446,Hulimavu,2,1021.0,2.0,76.0,105
7447,Kalena Agrahara,2,1222.0,2.0,48.0,121
7448,Hennur Road,3,1981.0,3.0,134.0,96
7449,Yelachenahalli,2,1103.0,2.0,55.0,225
7450,others,2,1201.0,2.0,65.0,230
7451,Sarjapur  Road,2,970.0,2.0,36.0,194
7452,Sarjapur,2,920.0,2.0,33.0,193
7453,Yeshwanthpur,3,1520.0,3.0,85.0,229
7454,Sonnenahalli,3,1268.0,2.0,75.0,204
7455,others,1,660.0,1.0,30.0,230
7456,Harlur,3,1755.0,3.0,115.0,91
7457,Hoskote,2,945.0,2.0,35.0,103
7458,8th Phase JP Nagar,1,500.0,1.0,33.0,7
7459,Harlur,4,2820.0,4.0,153.5,91
7460,Rachenahalli,2,1167.0,2.0,37.5,183
7461,Domlur,2,1276.0,2.0,80.0,71
7462,Thanisandra,2,1234.0,2.0,51.0,209
7463,ISRO Layout,3,1370.0,2.0,87.0,106
7464,Electronic City,3,1400.0,3.0,90.0,74
7465,others,2,1050.0,2.0,40.0,230
7466,Ramagondanahalli,2,1251.0,2.0,46.0,187
7467,Yeshwanthpur,3,1677.0,3.0,92.13,229
7468,Sarjapur  Road,2,1346.0,2.0,67.38,194
7469,Kanakapura,3,1290.0,2.0,51.1,126
7470,Garudachar Palya,2,1150.0,2.0,52.0,79
7471,others,2,950.0,2.0,65.0,230
7472,Ramamurthy Nagar,2,1050.0,2.0,51.66,188
7473,Hoodi,3,1660.0,3.0,131.0,97
7474,Nagavarapalya,2,1134.0,2.0,55.0,172
7475,Hebbal,2,1100.0,2.0,60.0,92
7476,others,3,980.0,3.0,80.0,230
7477,others,2,1080.0,2.0,37.8,230
7478,CV Raman Nagar,1,705.0,2.0,50.0,53
7479,others,3,1200.0,2.0,35.0,230
7480,Anandapura,2,1200.0,2.0,50.0,15
7481,Talaghattapura,3,1804.0,3.0,127.0,208
7482,Battarahalli,2,1090.0,2.0,38.37,37
7483,Electronic City,3,1287.0,3.0,55.0,74
7484,Thigalarapalya,3,2215.0,4.0,157.0,210
7485,Sarjapur  Road,2,1045.0,2.0,42.15,194
7486,Hormavu,2,1263.0,2.0,47.36,100
7487,Whitefield,3,1431.0,3.0,85.0,224
7488,Dommasandra,2,999.0,2.0,32.9,72
7489,others,3,1535.0,3.0,72.0,230
7490,Marathahalli,4,2524.0,5.0,180.0,161
7491,7th Phase JP Nagar,3,2095.0,3.0,150.0,6
7492,others,2,1265.0,2.0,68.0,230
7493,Kudlu Gate,2,1215.0,2.0,44.96,148
7494,Yelahanka New Town,2,2200.0,2.0,180.0,227
7495,Electronics City Phase 1,2,1028.0,2.0,51.0,76
7496,Hegde Nagar,3,1835.0,2.0,92.0,94
7497,Munnekollal,3,1800.0,3.0,65.0,164
7498,Sarjapur  Road,4,2880.0,3.0,211.0,194
7499,Dasanapura,2,708.0,2.0,31.15,63
7500,Hosakerehalli,2,925.0,2.0,46.25,102
7501,Bannerghatta Road,3,2826.0,3.0,148.0,34
7502,Kanakpura Road,1,458.0,1.0,33.66,127
7503,others,4,3500.0,4.0,150.0,230
7504,others,4,5400.0,4.0,250.0,230
7505,Amruthahalli,3,1450.0,2.0,90.0,14
7506,Kasavanhalli,2,1100.0,2.0,65.0,130
7507,Kadubeesanahalli,2,1185.0,2.0,55.0,116
7508,9th Phase JP Nagar,4,1900.0,4.0,80.0,8
7509,others,1,660.0,1.0,35.0,230
7510,Ambedkar Nagar,3,1920.0,4.0,121.0,13
7511,Sarjapur  Road,4,3418.0,2.0,222.0,194
7512,1st Phase JP Nagar,4,4550.0,2.0,240.0,1
7513,Bhoganhalli,2,1205.0,2.0,68.32,43
7514,Haralur Road,2,1200.0,2.0,46.0,90
7515,Akshaya Nagar,3,1421.0,2.0,73.0,11
7516,6th Phase JP Nagar,3,1250.0,3.0,48.9,5
7517,Whitefield,1,524.0,1.0,29.0,224
7518,HSR Layout,5,4200.0,5.0,245.0,89
7519,Rachenahalli,2,985.0,2.0,50.17,183
7520,Whitefield,4,2830.0,4.0,161.0,224
7521,others,2,1140.0,2.0,60.0,230
7522,5th Block Hbr Layout,5,3600.0,5.0,130.0,3
7523,Raja Rajeshwari Nagar,3,1700.0,2.0,86.0,184
7524,Devanahalli,2,1360.0,2.0,62.425,65
7525,Dasarahalli,2,1333.0,2.0,86.65,64
7526,Electronic City,2,1258.0,2.0,85.5,74
7527,others,3,1458.0,2.0,87.0,230
7528,Electronic City,2,1386.0,2.0,85.0,74
7529,Electronic City,1,550.0,1.0,27.0,74
7530,Lakshminarayana Pura,2,1200.0,2.0,83.0,153
7531,others,2,1081.0,2.0,39.0,230
7532,Whitefield,4,2135.0,3.0,149.0,224
7533,Whitefield,4,2500.0,4.0,100.0,224
7534,others,2,1178.0,2.0,80.0,230
7535,Devarachikkanahalli,2,991.0,2.0,40.0,66
7536,Gottigere,3,1493.0,2.0,90.0,82
7537,Subramanyapura,3,2495.0,3.0,130.0,205
7538,Kammasandra,2,1080.0,2.0,31.99,125
7539,Dasanapura,2,814.0,2.0,53.0,63
7540,Electronic City,2,1025.0,2.0,50.0,74
7541,Whitefield,4,3075.0,2.0,188.0,224
7542,others,2,1175.0,2.0,52.86,230
7543,KR Puram,2,1100.0,2.0,45.0,115
7544,Banashankari,2,1450.0,2.0,50.75,26
7545,6th Phase JP Nagar,3,1810.0,3.0,131.0,5
7546,others,3,1426.0,2.0,71.0,230
7547,Sector 7 HSR Layout,3,2400.0,2.0,195.0,197
7548,Kalyan nagar,2,1100.0,2.0,70.0,122
7549,Electronic City Phase II,1,650.0,1.0,35.0,75
7550,Kaikondrahalli,2,900.0,2.0,27.0,120
7551,Billekahalli,2,1360.0,2.0,110.0,44
7552,Yeshwanthpur,1,674.0,1.0,36.85,229
7553,Whitefield,3,1655.0,3.0,110.0,224
7554,others,2,1300.0,2.0,95.0,230
7555,others,1,936.0,1.0,53.0,230
7556,others,2,1277.0,2.0,92.0,230
7557,others,2,1200.0,2.0,54.0,230
7558,Hormavu,2,1015.0,2.0,39.08,100
7559,Budigere,2,1153.0,2.0,60.0,52
7560,Kengeri,2,1035.0,2.0,51.5,135
7561,KR Puram,5,3300.0,3.0,255.0,115
7562,Uttarahalli,2,1150.0,2.0,46.0,216
7563,Malleshwaram,2,1020.0,2.0,80.0,160
7564,8th Phase JP Nagar,2,1160.0,2.0,95.0,7
7565,Brookefield,2,1225.0,2.0,72.0,51
7566,others,3,1350.0,3.0,60.0,230
7567,Channasandra,2,830.0,2.0,36.28,56
7568,Jalahalli,2,905.0,2.0,55.0,111
7569,Vijayanagar,3,1375.0,2.0,75.0,220
7570,Electronic City,2,1140.0,2.0,33.84,74
7571,Hormavu,3,1550.0,2.0,60.0,100
7572,Kannamangala,2,957.0,2.0,55.0,128
7573,9th Phase JP Nagar,2,890.0,2.0,45.0,8
7574,KR Puram,4,3000.0,4.0,235.0,115
7575,others,5,2400.0,5.0,150.0,230
7576,Rachenahalli,2,925.0,2.0,37.0,183
7577,Kammasandra,2,1415.0,2.0,60.0,125
7578,Thanisandra,2,1225.0,2.0,37.0,209
7579,Hennur Road,4,2000.0,4.0,90.0,96
7580,Whitefield,1,840.0,1.0,57.0,224
7581,Thanisandra,3,1732.0,3.0,112.0,209
7582,others,1,1200.0,1.0,45.0,230
7583,Bhoganhalli,2,1260.0,2.0,69.9,43
7584,others,2,1092.0,2.0,49.0,230
7585,others,2,827.0,2.0,34.0,230
7586,Chamrajpet,2,650.0,1.0,40.0,54
7587,Whitefield,3,1725.0,3.0,106.0,224
7588,Jalahalli,2,1000.0,2.0,70.0,111
7589,TC Palaya,1,1350.0,1.0,55.0,207
7590,Bellandur,3,1717.0,3.0,110.0,40
7591,Kanakpura Road,2,700.0,2.0,34.0,127
7592,others,2,800.0,2.0,32.0,230
7593,Sonnenahalli,3,1415.0,2.0,65.0,204
7594,7th Phase JP Nagar,3,1976.0,3.0,145.0,6
7595,Kambipura,2,883.0,2.0,37.01,123
7596,Yelahanka,1,700.0,1.0,38.0,226
7597,Sarjapur,3,1445.0,3.0,50.0,193
7598,Battarahalli,3,2082.0,3.0,104.0,37
7599,Thanisandra,2,933.0,2.0,66.0,209
7600,Electronic City Phase II,2,1155.0,2.0,57.0,75
7601,Bannerghatta,2,1200.0,2.0,73.2,33
7602,others,2,1055.0,2.0,43.0,230
7603,Rajaji Nagar,3,1555.0,3.0,125.0,185
7604,Bellandur,3,1420.0,3.0,62.0,40
7605,KR Puram,2,1035.0,2.0,40.0,115
7606,Yelahanka New Town,1,488.0,1.0,20.0,227
7607,others,5,2760.0,5.0,140.0,230
7608,others,2,993.0,2.0,42.0,230
7609,Hoodi,2,1225.0,2.0,45.0,97
7610,Sompura,2,825.0,2.0,32.0,203
7611,Electronic City Phase II,3,1800.0,3.0,92.0,75
7612,Kanakpura Road,2,1167.0,2.0,63.0,127
7613,Sarjapur,2,1150.0,2.0,41.0,193
7614,others,1,650.0,1.0,50.0,230
7615,Sarjapur  Road,1,675.0,1.0,27.0,194
7616,others,2,2260.0,3.0,90.0,230
7617,others,1,720.0,1.0,32.39,230
7618,Yelahanka New Town,2,1100.0,2.0,58.0,227
7619,Uttarahalli,3,1330.0,2.0,58.0,216
7620,others,6,2400.0,5.0,75.0,230
7621,Banashankari,3,1770.0,3.0,108.0,26
7622,Prithvi Layout,3,2100.0,3.0,125.0,181
7623,Pai Layout,2,1000.0,2.0,42.0,179
7624,Ramamurthy Nagar,4,2916.0,5.0,230.0,188
7625,Kanakpura Road,3,1419.59,2.0,65.0,127
7626,Kodihalli,3,1400.0,3.0,81.0,141
7627,Horamavu Agara,2,750.0,2.0,37.49,98
7628,Bannerghatta,2,1070.0,2.0,87.0,33
7629,Kannamangala,3,1536.0,3.0,107.0,128
7630,JP Nagar,3,2400.0,3.0,196.0,109
7631,Sarjapur  Road,3,1773.5,2.0,102.92,194
7632,Electronic City,2,1342.0,2.0,72.0,74
7633,others,3,1600.0,3.0,130.0,230
7634,Kanakapura,1,938.0,1.0,50.0,126
7635,Budigere,3,1820.0,3.0,99.0,52
7636,Bhoganhalli,4,2439.0,4.0,170.0,43
7637,Kanakpura Road,3,1665.0,3.0,78.0,127
7638,Basavangudi,3,1850.0,3.0,150.0,35
7639,Bommanahalli,2,1091.0,2.0,40.0,47
7640,Brookefield,4,3675.0,4.0,176.0,51
7641,JP Nagar,2,1060.0,2.0,33.95,109
7642,Whitefield,2,1059.0,2.0,57.0,224
7643,Hebbal,2,1299.0,2.0,97.0,92
7644,Yelahanka,3,1491.0,3.0,85.0,226
7645,Basaveshwara Nagar,2,1200.0,2.0,85.0,36
7646,Yelahanka,4,2088.0,5.0,110.0,226
7647,Hulimavu,1,581.0,1.0,29.0,105
7648,others,2,1296.0,2.0,70.0,230
7649,others,2,1125.0,2.0,55.0,230
7650,Electronic City,3,1275.0,3.0,70.0,74
7651,Kothanur,2,1095.0,2.0,55.0,146
7652,Old Madras Road,2,1330.0,2.0,74.0,177
7653,Marathahalli,2,1135.0,2.0,60.0,161
7654,Whitefield,1,516.0,1.0,39.0,224
7655,others,2,1194.0,2.0,51.0,230
7656,Electronic City,2,770.0,1.0,38.0,74
7657,Chikkalasandra,3,1355.0,3.0,54.2,59
7658,Harlur,4,2569.0,4.0,175.0,91
7659,Bhoganhalli,3,1707.0,3.0,115.0,43
7660,Sultan Palaya,2,1070.0,2.0,49.0,206
7661,Whitefield,4,6000.0,4.0,410.0,224
7662,Tumkur Road,3,1240.0,2.0,83.0,214
7663,JP Nagar,2,1300.0,2.0,91.65,109
7664,Ambalipura,2,1700.0,2.0,76.0,12
7665,Yeshwanthpur,3,1383.0,2.0,76.18,229
7666,others,5,3000.0,4.0,170.0,230
7667,Hulimavu,2,935.0,2.0,45.0,105
7668,Thigalarapalya,3,2072.0,4.0,151.0,210
7669,KR Puram,2,1116.0,2.0,45.0,115
7670,Whitefield,3,1639.0,3.0,107.0,224
7671,Marathahalli,3,1839.0,3.0,130.0,161
7672,others,2,1300.0,2.0,63.0,230
7673,Horamavu Agara,1,625.0,1.0,27.0,98
7674,Thanisandra,1,933.0,1.0,61.0,209
7675,Hosur Road,3,2289.0,3.0,180.0,104
7676,Ramamurthy Nagar,3,2316.0,3.0,125.0,188
7677,Electronic City,2,1005.0,2.0,39.77,74
7678,Horamavu Agara,2,1080.0,2.0,38.0,98
7679,Vishwapriya Layout,2,910.0,2.0,36.0,222
7680,Hormavu,2,1200.0,2.0,73.0,100
7681,Electronic City,2,1110.0,2.0,39.9,74
7682,Kothanur,2,1142.0,2.0,56.0,146
7683,2nd Stage Nagarbhavi,5,4000.0,4.0,240.0,2
7684,AECS Layout,2,1005.0,2.0,55.0,9
7685,others,3,1626.6,3.0,133.0,230
7686,Kothanur,2,1074.0,2.0,54.0,146
7687,Basavangudi,2,1230.0,2.0,80.0,35
7688,Electronic City,2,660.0,1.0,23.0,74
7689,others,2,1007.0,2.0,48.0,230
7690,Whitefield,3,1820.0,3.0,113.0,224
7691,others,2,1348.0,2.0,100.0,230
7692,Kasavanhalli,2,1230.0,2.0,66.25,130
7693,Horamavu Agara,3,1176.0,2.0,37.62,98
7694,Frazer Town,2,1200.0,2.0,78.0,77
7695,others,2,1298.0,2.0,65.0,230
7696,Kothanur,2,1285.0,2.0,60.0,146
7697,Electronic City,3,1644.0,3.0,92.59,74
7698,Kasavanhalli,3,1819.0,3.0,150.0,130
7699,1st Phase JP Nagar,2,1205.0,2.0,85.0,1
7700,Raja Rajeshwari Nagar,2,1270.0,2.0,62.0,184
7701,9th Phase JP Nagar,3,1240.0,2.0,39.89,8
7702,Jigani,3,1221.0,3.0,70.0,113
7703,Kanakpura Road,2,1339.0,2.0,63.0,127
7704,Thigalarapalya,4,4303.0,5.0,300.0,210
7705,Haralur Road,2,1315.0,2.0,85.0,90
7706,Raja Rajeshwari Nagar,2,1250.0,2.0,68.0,184
7707,Bisuvanahalli,2,850.0,2.0,27.0,46
7708,7th Phase JP Nagar,3,1600.0,2.0,110.0,6
7709,Electronic City,2,1250.0,2.0,62.0,74
7710,others,3,1312.0,2.0,56.5,230
7711,Kadugodi,4,3000.0,4.0,134.0,117
7712,Whitefield,3,1990.0,3.0,98.0,224
7713,others,2,760.0,2.0,38.5,230
7714,Kadugodi,3,1614.0,2.0,59.0,117
7715,others,3,1182.0,2.0,60.1,230
7716,others,2,1053.0,2.0,46.29,230
7717,Gubbalala,3,2000.0,3.0,125.0,84
7718,Electronic City Phase II,3,1940.0,4.0,116.0,75
7719,Hennur Road,3,1590.0,3.0,105.0,96
7720,others,2,1035.0,2.0,52.79,230
7721,Raja Rajeshwari Nagar,3,1260.0,2.0,62.0,184
7722,Thanisandra,3,1702.0,3.0,107.0,209
7723,Bisuvanahalli,3,1080.0,2.0,65.0,46
7724,Kasavanhalli,2,1189.0,2.0,45.0,130
7725,Tumkur Road,2,1035.0,2.0,39.0,214
7726,Hennur Road,2,1200.0,2.0,36.0,96
7727,Yelahanka,2,1330.0,2.0,93.65,226
7728,Kaggalipura,3,1210.0,2.0,65.0,119
7729,Chikkalasandra,3,1350.0,2.0,54.2,59
7730,Kaval Byrasandra,3,1900.0,2.0,65.0,133
7731,Ambedkar Nagar,3,1935.0,4.0,125.0,13
7732,others,3,1410.0,3.0,90.0,230
7733,others,2,1469.0,2.0,99.14,230
7734,Varthur,2,986.0,2.0,30.0,217
7735,others,3,1460.0,2.0,87.0,230
7736,Chandapura,3,1345.0,2.0,39.5,55
7737,Panathur,2,980.0,2.0,57.0,180
7738,Kudlu Gate,2,1164.0,2.0,75.0,148
7739,Subramanyapura,2,929.0,1.0,51.0,205
7740,Kundalahalli,2,1065.0,2.0,70.0,150
7741,Budigere,2,1172.0,2.0,56.725,52
7742,Electronic City,2,1020.0,2.0,30.27,74
7743,Yeshwanthpur,1,672.0,1.0,36.85,229
7744,Brookefield,3,1746.0,3.0,115.0,51
7745,others,2,1250.0,2.0,65.0,230
7746,Thanisandra,2,1188.0,2.0,39.0,209
7747,Whitefield,4,3565.0,4.0,218.0,224
7748,Marathahalli,2,1170.0,2.0,85.0,161
7749,others,2,1000.0,2.0,35.0,230
7750,Kasturi Nagar,4,2507.0,4.0,155.0,131
7751,Babusapalaya,2,1061.0,2.0,34.0,24
7752,KR Puram,2,1290.0,2.0,69.0,115
7753,Sarjapur,2,1200.0,2.0,42.6,193
7754,Bharathi Nagar,2,1120.0,2.0,39.29,42
7755,Sarjapur,3,1333.0,3.0,50.0,193
7756,Thanisandra,1,747.0,1.0,34.355,209
7757,Thanisandra,3,2030.0,4.0,125.0,209
7758,Balagere,2,1012.0,2.0,70.0,25
7759,Kudlu,3,1245.0,2.0,60.0,147
7760,7th Phase JP Nagar,3,1765.0,3.0,118.0,6
7761,Gottigere,2,1110.0,2.0,36.25,82
7762,others,2,967.0,2.0,47.8,230
7763,Sarjapur,2,1044.0,2.0,36.0,193
7764,Brookefield,3,1518.0,3.0,80.0,51
7765,KR Puram,3,1300.0,2.0,57.0,115
7766,others,3,1798.0,3.0,73.0,230
7767,KR Puram,2,866.28,2.0,36.38,115
7768,Whitefield,4,3410.0,5.0,253.0,224
7769,Singasandra,2,1179.0,2.0,56.0,201
7770,Haralur Road,3,1976.0,3.0,92.0,90
7771,5th Phase JP Nagar,2,1190.0,2.0,61.8,4
7772,Jakkur,3,1761.0,3.0,84.52,110
7773,Cooke Town,3,1700.0,3.0,120.0,61
7774,Electronic City,2,1128.0,2.0,64.8,74
7775,others,1,509.0,1.0,20.0,230
7776,Ambedkar Nagar,3,1852.0,4.0,122.0,13
7777,Varthur,2,1045.0,2.0,40.65,217
7778,others,4,3535.0,4.0,215.0,230
7779,others,4,1800.0,3.0,82.0,230
7780,Hebbal Kempapura,3,1436.0,2.0,75.0,93
7781,others,3,1397.0,2.0,52.0,230
7782,Kothanur,2,1140.0,2.0,56.0,146
7783,others,3,2050.0,3.0,135.0,230
7784,Sarjapur  Road,2,1335.0,2.0,95.0,194
7785,Thanisandra,2,1140.0,2.0,59.0,209
7786,Thanisandra,1,663.0,1.0,46.0,209
7787,Kanakpura Road,3,1450.0,3.0,60.9,127
7788,Kodichikkanahalli,3,1400.0,3.0,66.0,138
7789,others,2,1339.0,2.0,53.56,230
7790,others,2,1305.0,2.0,52.0,230
7791,Green Glen Layout,3,1740.0,3.0,80.0,83
7792,Anekal,2,680.0,1.0,21.0,17
7793,Bannerghatta Road,2,1154.0,2.0,47.0,34
7794,Munnekollal,2,1200.0,2.0,40.0,164
7795,Hennur,2,1155.0,2.0,54.5,95
7796,Sarjapur  Road,3,1525.0,2.0,63.0,194
7797,Hebbal,4,2470.0,5.0,192.0,92
7798,Padmanabhanagar,2,1100.0,2.0,60.0,178
7799,Hormavu,2,1250.0,2.0,65.0,100
7800,Kothanur,2,1400.0,2.0,70.0,146
7801,others,3,1600.0,3.0,100.0,230
7802,Electronic City,2,1060.0,2.0,55.0,74
7803,Horamavu Banaswadi,2,1272.0,2.0,50.0,99
7804,Kanakpura Road,2,1296.0,2.0,105.0,127
7805,Karuna Nagar,3,1945.0,3.0,115.0,129
7806,Chandapura,3,1033.0,2.0,30.47,55
7807,others,3,2300.0,2.0,69.0,230
7808,others,2,1235.0,2.0,52.76,230
7809,others,2,850.0,2.0,42.5,230
7810,Subramanyapura,3,1880.0,3.0,110.0,205
7811,Kenchenahalli,2,1060.0,2.0,52.0,134
7812,Hennur Road,3,2041.0,3.0,138.0,96
7813,others,2,1150.0,2.0,39.0,230
7814,LB Shastri Nagar,2,1184.0,2.0,62.0,151
7815,Sarjapur  Road,3,1680.0,3.0,126.0,194
7816,Thanisandra,3,1411.0,3.0,100.0,209
7817,Thanisandra,3,1702.0,3.0,120.0,209
7818,Yelahanka,2,1185.0,2.0,45.0,226
7819,Kanakpura Road,3,1300.0,3.0,64.0,127
7820,others,3,1545.0,3.0,65.0,230
7821,Jigani,3,1300.0,3.0,55.0,113
7822,JP Nagar,2,1107.0,2.0,57.0,109
7823,Old Madras Road,3,1720.0,3.0,106.0,177
7824,Bannerghatta Road,2,1000.0,2.0,44.5,34
7825,Electronic City,1,710.0,1.0,40.42,74
7826,Bannerghatta Road,2,1250.0,2.0,48.0,34
7827,Kaggadasapura,5,2400.0,4.0,130.0,118
7828,Hegde Nagar,3,1584.01,3.0,104.0,94
7829,Kaggadasapura,3,1485.0,2.0,70.0,118
7830,Hennur Road,3,1100.0,2.0,78.0,96
7831,8th Phase JP Nagar,2,1245.0,2.0,59.0,7
7832,Hennur Road,4,1880.0,4.0,154.0,96
7833,others,2,1050.0,2.0,45.0,230
7834,Bannerghatta Road,3,1640.0,3.0,105.0,34
7835,others,2,1165.0,2.0,65.0,230
7836,Kengeri Satellite Town,2,1110.0,2.0,43.0,136
7837,Uttarahalli,4,4500.0,4.0,150.0,216
7838,others,2,1200.0,1.0,42.0,230
7839,Jalahalli,3,1704.0,3.0,94.36,111
7840,7th Phase JP Nagar,3,1275.0,2.0,88.0,6
7841,Sarjapur  Road,3,1222.0,2.0,68.0,194
7842,Electronic City,2,1000.0,2.0,29.95,74
7843,Yelahanka,3,1517.0,3.0,71.28,226
7844,Horamavu Agara,2,1166.0,2.0,37.29,98
7845,5th Phase JP Nagar,5,4000.0,5.0,170.0,4
7846,Whitefield,3,1345.0,3.0,58.0,224
7847,EPIP Zone,4,3800.0,5.0,170.0,73
7848,Chandapura,3,971.0,2.0,38.0,55
7849,EPIP Zone,2,1810.0,2.0,65.0,73
7850,others,2,1300.0,2.0,58.0,230
7851,Thanisandra,2,1185.0,2.0,45.0,209
7852,others,2,1350.0,2.0,68.0,230
7853,Budigere,3,1590.0,3.0,76.16,52
7854,Somasundara Palya,3,1650.0,3.0,126.0,202
7855,others,3,1645.0,3.0,87.0,230
7856,Hennur Road,3,1748.0,3.0,103.0,96
7857,Kengeri Satellite Town,2,1170.0,2.0,50.0,136
7858,Sarjapur  Road,4,3420.0,4.0,225.0,194
7859,Hulimavu,3,1320.0,2.0,65.0,105
7860,Sarjapur  Road,3,1510.0,2.0,110.0,194
7861,others,6,2700.0,7.0,110.0,230
7862,others,3,1305.0,2.0,45.68,230
7863,Mahadevpura,3,1500.0,2.0,70.0,156
7864,Thanisandra,4,1948.0,4.0,129.0,209
7865,Margondanahalli,3,1448.0,3.0,70.0,162
7866,Sarjapur  Road,2,1242.0,2.0,78.0,194
7867,Sonnenahalli,2,1268.0,2.0,58.0,204
7868,Ramamurthy Nagar,2,1101.0,2.0,50.0,188
7869,others,2,1255.0,2.0,65.0,230
7870,Hosa Road,2,1089.0,2.0,32.67,101
7871,Kaggalipura,2,950.0,2.0,45.0,119
7872,HBR Layout,2,1068.0,2.0,43.0,87
7873,Yelahanka New Town,2,860.0,1.0,31.0,227
7874,Yelahanka,3,1756.0,3.0,66.73,226
7875,Whitefield,2,1205.0,2.0,41.0,224
7876,Hormavu,3,1604.0,3.0,68.0,100
7877,Ananth Nagar,2,1010.0,2.0,38.0,16
7878,Doddakallasandra,2,1010.0,2.0,41.0,69
